date,SX5T Index,macd_12_26
2000-07-26,6592.21,51.72519230769376
2000-07-27,6433.9,45.23858974358791
2000-07-28,6388.99,33.896217948718004
2000-07-31,6466.42,21.061217948717967
2000-08-01,6442.98,4.766217948717895
2000-08-02,6427.37,-17.38762820512693
2000-08-03,6306.14,-39.58730769230806
2000-08-04,6376.35,-64.63980769230875
2000-08-07,6425.54,-85.7359615384612
2000-08-08,6447.15,-95.54224358974534
2000-08-09,6513.58,-102.64435897435942
2000-08-10,6543.8,-106.68070512820304
2000-08-11,6540.81,-112.57557692307728
2000-08-14,6590.63,-98.22628205128058
2000-08-15,6571.12,-80.39878205128116
2000-08-16,6597.1,-69.44147435897412
2000-08-17,6557.13,-57.46012820512806
2000-08-18,6543.8,-42.28993589743732
2000-08-21,6524.52,-16.886987179486823
2000-08-22,6519.44,4.239102564102723
2000-08-23,6517.83,19.14378205128287
2000-08-24,6472.16,29.218717948718222
2000-08-25,6537.42,37.75307692307524
2000-08-28,6574.87,41.6407051282049
2000-08-29,6555.61,45.01557692307779
2000-08-30,6527.78,41.770769230769474
2000-08-31,6538.16,41.102948717947584
2000-09-01,6694.21,39.18352564102588
2000-09-04,6812.96,44.19615384615372
2000-09-05,6729.65,49.55942307692203
2000-09-06,6694.97,54.071666666665806
2000-09-07,6732.64,60.097179487179346
2000-09-08,6606.28,55.92416666666577
2000-09-11,6612.61,58.54141025641093
2000-09-12,6598.09,56.96070512820552
2000-09-13,6510.69,49.16852564102555
2000-09-14,6575.65,48.451217948716476
2000-09-15,6568.73,50.904871794870814
2000-09-18,6480.66,48.42666666666537
2000-09-19,6465.14,34.16403846153844
2000-09-20,6382.07,5.527692307690813
2000-09-21,6242.66,-21.422500000000582
2000-09-22,6248.12,-46.775000000000546
2000-09-25,6297.28,-73.57346153846083
2000-09-26,6234.86,-93.38435897435829
2000-09-27,6253.79,-113.06871794871859
2000-09-28,6233.85,-132.49974358974396
2000-09-29,6209.96,-147.47596153846098
2000-10-02,6268.97,-162.70762820512664
2000-10-03,6321.5,-173.56512820512762
2000-10-04,6265.85,-180.3213461538462
2000-10-05,6313.65,-184.70974358974308
2000-10-06,6264.53,-183.98051282051165
2000-10-09,6120.59,-172.0907051282038
2000-10-10,6149.96,-154.770705128205
2000-10-11,5993.46,-151.7740384615381
2000-10-12,5999.01,-144.66051282051285
2000-10-13,6043.07,-135.69858974358885
2000-10-16,6056.21,-129.34538461538614
2000-10-17,6015.5,-122.58461538461688
2000-10-18,5886.54,-127.08647435897365
2000-10-19,6111.45,-129.23525641025753
2000-10-20,6177.97,-121.26320512820439
2000-10-23,6199.67,-116.56692307692447
2000-10-24,6356.79,-104.11435897435786
2000-10-25,6288.62,-83.32262820512824
2000-10-26,6224.54,-71.0487820512817
2000-10-27,6274.53,-48.852051282051434
2000-10-30,6294.05,-26.031923076923704
2000-10-31,6390.85,-0.6491025641025772
2000-11-01,6426.25,22.8264102564126
2000-11-02,6435.29,50.828141025641344
2000-11-03,6446.37,89.30679487179532
2000-11-06,6434.14,107.57532051282124
